State,District,Latitude,Longitude,District code,Households_with_Internet,Households_with_Computer,Hindus,Population,Rural_Households,Urban_Households,Married_couples_None_Households,sex_ratio,literacy_rate
Jharkhand,Simdega,22.608760391198054,84.59193691931536,367,423,4649,201524,599578,144169,11114,20110,100.0,57.0
Karnataka,Bagalkot,16.15860676328503,75.64526070853468,556,3745,26297,1634229,1889752,324799,165858,48700,99.0,59.0
Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,583,3729,17066,890429,990923,231052,95410,31210,95.0,70.0
Karnataka,Belgaum,16.16107219152853,74.72329042357275,555,17560,73497,4038331,4779661,962777,356198,123092,97.0,64.0
Karnataka,Bellary,15.074377548209377,76.47228471074374,565,9626,40190,2103633,2452595,371604,251876,56369,98.0,58.0
Karnataka,Bidar,17.950361730769224,77.19459961538459,558,3971,36072,1289709,1703300,287134,102269,29082,96.0,61.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,417,117,1462,245151,255230,50449,7942,9970,98.0,34.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,557,4987,36571,1786830,2177331,396449,131041,43205,96.0,57.0
Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,570,4510,18727,1004553,1137961,311660,80766,38925,101.0,72.0
Karnataka,Chitradurga,14.29102220394736,76.57821957236843,566,5711,28897,1520553,1659456,349704,97644,43847,97.0,66.0
Karnataka,Davanagere,14.330414586709884,75.91723841166937,567,7320,39416,1658465,1945497,354680,176011,49045,97.0,67.0
Karnataka,Dharwad,15.343831376975173,75.13831264108359,562,15013,49585,1390020,1847023,199707,283397,48850,97.0,70.0
Karnataka,Gadag,15.507128256880746,75.64861302752298,561,3373,15625,907750,1064570,180066,111906,30158,98.0,66.0
Karnataka,Gulbarga,17.070459515951594,76.87503850385033,579,9752,52483,2011014,2566326,400704,199303,45543,97.0,56.0
Karnataka,Hassan,12.945098749999998,76.11049549999997,574,4851,23444,1630814,1776421,496103,132878,54710,101.0,69.0
Karnataka,Haveri,14.737582809224318,75.3961230607966,564,2456,17819,1281878,1597668,315076,98488,39291,95.0,68.0
Karnataka,Kodagu,12.39684468085106,75.79336595744688,576,3308,10758,448986,554519,181182,31792,23145,102.0,74.0
Karnataka,Kolar,13.312799881235172,78.01376947743476,581,5051,27235,1305431,1536401,326567,151042,43889,98.0,66.0
Karnataka,Koppal,15.651253271028034,76.1617048598131,560,2135,15263,1218024,1389920,272968,64681,32399,99.0,58.0
Karnataka,Mandya,12.574901806239744,76.81570098522172,573,3367,20265,1712695,1805769,458867,103435,61681,100.0,64.0
Karnataka,Mysore,12.248100259403367,76.52881802853437,577,28397,80086,2631985,3001127,540596,380386,91829,99.0,65.0
Karnataka,Raichur,16.050795353982295,76.87368606194688,559,5200,33903,1634062,1928812,330446,125402,42209,100.0,51.0
Karnataka,Shimoga,14.063845885634592,75.17882078103197,568,8791,35207,1479424,1752753,352444,201662,55078,100.0,72.0
Karnataka,Tumkur,13.592467760074973,77.02297966260545,571,7971,41751,2413812,2678980,685443,204799,92983,98.0,68.0
Karnataka,Udupi,13.450404228534568,74.72009990316337,569,9070,24817,1009179,1177361,269817,115572,51929,109.0,79.0
Kerala,Alappuzha,9.542602965599087,76.38010796263319,598,28842,71593,1460447,2127789,331419,392117,76073,110.0,87.0
Kerala,Ernakulam,10.004879301987431,76.26957729035381,595,88737,184167,1509557,3282388,369694,804997,87002,103.0,87.0
Kerala,Idukki,9.80480963855423,77.04586641566264,596,8250,24863,541854,1108974,391610,20823,32553,101.0,83.0
Kerala,Kannur,11.941523076923056,75.35209891725934,589,32653,83940,1509592,2523003,306288,566191,100283,114.0,85.0
Kerala,Kasaragod,12.33310309912974,75.07768497134369,588,10378,32484,729987,1307375,251641,166164,44156,108.0,79.0
Kerala,Kollam,8.929388820570157,76.6360775852431,600,31542,83133,1697635,2635375,523715,401415,114087,111.0,85.0
Kerala,Kottayam,9.643701174068417,76.46059673302705,597,37849,83999,983598,1974551,481967,196194,55261,104.0,89.0
Kerala,Kozhikode,11.392924270557026,75.71158720159153,591,36791,107602,1734958,3086293,323793,666543,96503,110.0,85.0
Kerala,Malappuram,10.97329875666072,75.93910775606876,592,27909,119918,1135259,4112920,634543,522586,115399,110.0,81.0
Kerala,Palakkad,10.784926903553291,76.49980490693744,593,27162,69440,1875980,2809934,665899,228442,98607,107.0,80.0
Kerala,Thiruvananthapuram,8.537101759082221,76.88711502868073,601,71621,155321,2194057,3301427,559293,609824,139030,109.0,84.0
